2026-08-31 21:58:38 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-31 22:05:21 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-31 22:09:14 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 23220, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-31 22:09:14 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-05 16:39:44 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-05 16:41:59 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 6196, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-05 16:41:59 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-05 17:50:29 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-05 17:51:11 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8992, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-05 17:51:11 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-05 22:36:25 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-05 22:38:24 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24428, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-05 22:38:24 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-05 23:28:13 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-05 23:29:00 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16308, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-05 23:29:00 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-06 06:28:12 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-06 06:29:10 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 20060, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-06 06:29:10 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-06 22:09:03 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-06 22:10:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 6752, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-06 22:10:16 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-07 03:54:40 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10164, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-07 03:54:40 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-08 10:59:30 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-08 11:01:27 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 11356, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-08 11:01:27 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-10 16:58:02 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-10 16:59:21 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10980, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-10 16:59:21 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-10 17:20:17 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10176, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-10 17:20:17 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-10 17:51:33 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 21348, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-10 17:51:33 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-10 21:06:49 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-10 21:06:56 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10344, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-10 21:06:56 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-11 14:26:27 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-11 14:32:51 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 22900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 14:32:51 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-11 14:33:23 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 22900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 14:33:23 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-11 14:33:23 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2026-09-11 14:33:23 *ERROR*      Failed to inject image 'D:\yimv1\YimMenu.dll'.
Error code 0xC000010E
2026-09-11 14:33:45 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 22900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 14:33:45 *ERROR*      Can not attach to the process.
An invalid Client ID was specified.

2026-09-11 14:34:45 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 21464, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 14:34:45 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-11 14:34:47 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 21464, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 14:34:47 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-11 14:34:47 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2026-09-11 14:34:47 *ERROR*      Failed to inject image 'D:\yimv1\YimMenu.dll'.
Error code 0xC000010E

2026-09-11 20:56:15 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-11 20:57:43 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 25636, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 20:57:43 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-11 23:42:42 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
